  2    3   0  8.7774652  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.145885287
   5   2   1  -8.56385203210E-05
   6   2   1  -3.14902026180E-04
   1   3   1   4.87283517492E-04
   2   3   1  -9.76437295217E-14
   3   3   1  -4.87283517400E-04
   4   3   1  -2.68786274509E-06
   5   3   1  -8.87440680355E-14
   6   3   1   2.68786283423E-06
   1   4   1   5.68881711022E-05
   2   4   1   4.07248148428E-05
   3   4   1  -4.07248147600E-05
   4   4   1  -5.68881712730E-05
   5   4   1   5.44783201285E-05
   6   4   1  -5.44783200457E-05
   1   5   1  -3.31212487632E-04
   2   5   1  -9.25152720542E-05
   3   5   1  -8.87440680355E-14
   4   5   1   9.25152721434E-05
   5   5   1   3.31212487724E-04
   6   5   1  -9.76438740820E-14
   1   6   1  -1.29523675835E-03
   2   6   1  -3.14902026180E-04
   3   6   1   9.56461456745E-06
   4   6   1  -9.56461449057E-06
   5   6   1   3.14902026009E-04
   6   6   1   1.29523675846E-03
   1   2   1   2
   1   1   1   4.93590893466E-13
   2   1   1   1.56935158720E-03
   3   1   1  -9.69576767622E-05
   4   1   1   3.31304428336E-13
   5   1   1   9.69576764724E-05
   6   1   1  -1.56935158755E-03
   1   2   1   1.69877434465E-02
   2   2   1  -1.69877434470E-02
   3   2   1  -1.63957288487E-03
   4   2   1  -2.40228744843E-04
   5   2   1   2.40228744561E-04
   6   2   1   1.63957288556E-03
   1   3   1  -1.10097280549E-03
   2   3   1   3.68709788781E-13
   3   3   1   1.10097280514E-03
   4   3   1  -7.79235367108E-05
   5   3   1   3.24804033977E-13
   6   3   1   7.79235363962E-05
   1   4   1  -1.54049636292E-04
   2   4   1   5.47724498270E-05
   3   4   1  -5.47724501280E-05
   4   4   1   1.54049636917E-04
   5   4   1  -2.86476035839E-05
   6   4   1   2.86476032704E-05
   1   5   1   1.61325947592E-04
   2   5   1   1.04757523701E-04
   3   5   1   3.21634019572E-13
   4   5   1  -1.04757524020E-04
   5   5   1  -1.61325947911E-04
   6   5   1   3.26957307679E-13
   1   6   1   6.33065657785E-04
   2   6   1   4.34860090991E-04
   3   6   1   6.61624034734E-05
   4   6   1  -6.61624037837E-05
   5   6   1  -4.34860090374E-04
   6   6   1  -6.33065658083E-04
   1   2   1   3
   1   1   1  -4.74946232255E-03
   2   1   1   9.40957370948E-05
   3   1   1   3.23072140579E-05
   4   1   1  -3.23074399680E-05
   5   1   1  -9.40963806837E-05
   6   1   1   4.74946319207E-03
   1   2   1  -2.41117638436E-10
   2   2   1  -3.12925732096E-03
   3   2   1  -2.03966259337E-05
   4   2   1  -6.35863980303E-10
   5   2   1   2.03968669495E-05
   6   2   1   3.12925795683E-03
   1   3   1  -5.10621806394E-04
   2   3   1   5.10622409941E-04
