  2    2   0  8.1473937  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.013197440
           1  'Pb '    188851.246969807     
           2  'Te '    116300.285296078     
    1    2      0.0000000000      0.5773502692      2.7031875291
    2    1      0.0000000000      0.0000000000      2.3100099106
 T
          3.432338423574         -0.000000000033          0.000000000000
         -0.000000000033          3.432338423622          0.000000000000
          0.000000000000          0.000000000000          1.208801587933
    1
     -2.3499491     -0.0000000      0.0000000
     -0.0000000     -2.3499491      0.0000000
      0.0000000      0.0000000     -0.0958396
    2
      2.3499491      0.0000000      0.0000000
      0.0000000      2.3499491      0.0000000
      0.0000000      0.0000000      0.0958396
   6   6   1
   5   3   1   4.81867632216E-20
   6   3   1  -7.69395907345E-05
   1   4   1  -1.25052222222E-04
   2   4   1   1.68093123749E-04
   3   4   1  -1.68093123749E-04
   4   4   1   1.25052222222E-04
   5   4   1   1.00386793048E-05
   6   4   1  -1.00386793048E-05
   1   5   1  -7.40538976238E-05
   2   5   1   8.74262574011E-05
   3   5   1  -2.40933816108E-20
   4   5   1  -8.74262574011E-05
   5   5   1   7.40538976238E-05
   6   5   1   3.85494105773E-19
   1   6   1  -5.77385932508E-04
   2   6   1   1.14211352968E-04
   3   6   1   4.12618404511E-06
   4   6   1  -4.12618404511E-06
   5   6   1  -1.14211352968E-04
   6   6   1   5.77385932508E-04
   1   3   2   2
   1   1   1   0.00000000000E+00
   2   1   1  -1.15195812460E-05
   3   1   1  -1.09493035176E-04
   4   1   1   0.00000000000E+00
   5   1   1   1.09493035176E-04
   6   1   1   1.15195812460E-05
   1   2   1   1.44373788339E-03
   2   2   1  -1.44373788339E-03
   3   2   1  -1.10229759241E-04
   4   2   1  -9.61276408857E-06
   5   2   1   9.61276408857E-06
   6   2   1   1.10229759241E-04
   1   3   1   2.51315795900E-04
   2   3   1   1.20466908054E-20
   3   3   1  -2.51315795900E-04
   4   3   1  -2.36404110215E-05
   5   3   1   0.00000000000E+00
   6   3   1   2.36404110215E-05
   1   4   1   7.79150000000E-05
   2   4   1  -3.64447947248E-05
   3   4   1   3.64447947248E-05
   4   4   1  -7.79150000000E-05
   5   4   1  -1.40281280582E-05
   6   4   1   1.40281280582E-05
   1   5   1   1.41824204100E-04
   2   5   1  -4.09737443548E-05
   3   5   1  -1.20466908054E-20
   4   5   1   4.09737443548E-05
   5   5   1  -1.41824204100E-04
   6   5   1   1.44560289665E-19
   1   6   1   1.43221878327E-03
   2   6   1  -1.13503092574E-04
   3   6   1  -4.52943075523E-06
   4   6   1   4.52943075523E-06
   5   6   1   1.13503092574E-04
   6   6   1  -1.43221878327E-03
   2   1   1   1
   1   1   1  -9.97779332825E-10
   2   1   1   1.41306496211E-04
   3   1   1  -1.27639617465E-04
   4   1   1  -9.97787490266E-10
   5   1   1   1.27640615309E-04
   6   1   1  -1.41305498307E-04
   1   2   1   1.59662573460E-03
   2   2   1  -1.59662473681E-03
   3   2   1   3.91009059033E-04
   4   2   1   6.31797168287E-05
   5   2   1  -6.31787190027E-05
   6   2   1  -3.91011054636E-04
   1   3   1   4.02266771932E-06
   2   3   1  -9.97785245197E-10
   3   3   1  -4.02166991305E-06
   4   3   1   1.28332528668E-04
   5   3   1  -9.97797033317E-10
   6   3   1  -1.28331530859E-04
   1   4   1   8.33720264343E-05
   2   4   1  -8.45207142827E-05
   3   4   1   8.45217121001E-05
   4   4   1  -8.33740220375E-05
   5   4   1   1.23255179410E-04
   6   4   1  -1.23254181592E-04
   1   5   1   2.59302900494E-04
   2   5   1  -1.67064998168E-04
   3   5   1  -9.97797033317E-10
   4   5   1   1.67065995977E-04
   5   5   1  -2.59301902687E-04
   6   5   1  -9.97785245269E-10
   1   6   1   1.31401374008E-03
   2   6   1  -3.91011054636E-04
   3   6   1  -2.44452516932E-05
   4   6   1   2.44462495192E-05
   5   6   1   3.91009059033E-04
   6   6   1  -1.31401274230E-03
   2   1   1   2
   1   1   1  -1.47755523094E-10
   2   1   1  -7.07754885562E-04
   3   1   1  -6.38968504330E-05
   4   1   1  -1.47652485339E-10
   5   1   1   6.38969980442E-05
   6   1   1   7.07755033209E-04
   1   2   1   1.16208309759E-03
   2   2   1  -1.16208294997E-03
   3   2   1  -1.36714746044E-04
   4   2   1  -5.98181272288E-05
   5   2   1   5.98182748540E-05
   6   2   1   1.36714450769E-04
   1   3   1   1.96483871684E-04
   2   3   1  -1.47649235894E-10
   3   3   1  -1.96483724053E-04
   4   3   1  -1.19679690686E-04
   5   3   1  -1.47645687825E-10
   6   3   1   1.19679838318E-04
   1   4   1  -1.58821025833E-04
   2   4   1   5.24754986841E-05
   3   4   1  -5.24753510564E-05
   4   4   1   1.58820730554E-04
   5   4   1  -3.07445972966E-04
   6   4   1   3.07446120585E-04
   1   5   1  -5.80361052456E-04
   2   5   1   1.16653922800E-04
   3   5   1  -1.47648008861E-10
   4   5   1  -1.16653775172E-04
   5   5   1   5.80361200110E-04
   6   5   1  -1.47676561710E-10
   1   6   1   2.56596125433E-02
   2   6   1   2.93996410516E-05
   3   6   1   1.03881273749E-04
   4   6   1  -1.03881126143E-04
   5   6   1  -2.93999363728E-05
   6   6   1  -2.56596123956E-02
   2   1   2   1
   1   1   1  -1.47755522323E-10
   2   1   1   7.07754552084E-04
   3   1   1  -9.25221047612E-05
   4   1   1  -1.47652485917E-10
   5   1   1   9.25222523724E-05
   6   1   1  -7.07754404437E-04
   1   2   1   2.56596117505E-02
   2   2   1  -2.56596116027E-02
   3   2   1   1.15182919166E-03
   4   2   1   2.02242554862E-04
   5   2   1  -2.02242407256E-04
   6   2   1  -1.15182948698E-03
   1   3   1   6.00868631284E-04
   2   3   1  -1.47676563879E-10
   3   3   1  -6.00868483630E-04
   4   3   1  -1.16653904089E-04
   5   3   1  -1.47648008523E-10
