  2    2   0  4.7418901  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    7.970349730
           1  'B  '    9853.62370169200     
           2  'N  '    12766.3260662741     
    1    1      0.0000000000      0.5773502692      3.9851748648
    2    2      0.5000000000      0.2886751346      3.9851748648
 T
          1.627164291400          0.000000000000          0.000000000000
          0.000000000000          1.627164291393          0.000000000000
          0.000000000000          0.000000000000          1.103712267781
    1
      2.7050956      0.0000000      0.0000000
      0.0000000      2.7050956      0.0000000
      0.0000000      0.0000000      0.2300446
    2
     -2.7050956      0.0000000      0.0000000
      0.0000000     -2.7050956      0.0000000
      0.0000000      0.0000000     -0.2300446
   6   9   1  -4.02857836737E-04   2.25952767896E-03
   7   9   1  -6.17695495835E-04   2.73993398755E-03
   8   9   1  -1.34203472999E-03   3.54601199960E-03
   9   9   1  -2.24062104490E-03   2.49051486204E-03
  10   9   1  -1.98632174660E-03  -1.09284166111E-02
   1  10   1  -3.30355977324E-02  -1.36420241523E-01
   2  10   1  -1.76817136468E-02   2.14917201666E-02
   3  10   1  -2.89804732993E-03   9.72122695455E-03
   4  10   1  -8.54469127817E-04   4.84467903240E-03
   5  10   1  -4.10618276502E-04   3.13048282452E-03
   6  10   1  -3.10425002271E-04   2.68786415340E-03
   7  10   1  -4.10620194585E-04   3.13048459749E-03
   8  10   1  -8.54466256681E-04   4.84467588005E-03
   9  10   1  -2.89804481955E-03   9.72122509961E-03
  10  10   1  -1.76817195502E-02   2.14917264956E-02
   1   1   2   1
   1   1   1  -4.65404633209E-01   8.65490100089E-02
   2   1   1  -8.92158656622E-04   1.99739349364E-02
   3   1   1  -5.67342288190E-04   7.35185030852E-03
   4   1   1  -2.40854432706E-04   3.95308316066E-03
   5   1   1  -1.52115489860E-04   2.88083383142E-03
   6   1   1  -1.52118815620E-04   2.88083641562E-03
   7   1   1  -2.40853500701E-04   3.95308181592E-03
   8   1   1  -5.67338189132E-04   7.35184668520E-03
   9   1   1  -8.92161997626E-04   1.99739385205E-02
  10   1   1  -4.65404636391E-01   8.65490132874E-02
   1   2   1  -3.30355977324E-02  -1.36420241523E-01
   2   2   1  -1.76817195502E-02   2.14917264956E-02
   3   2   1  -2.89804481955E-03   9.72122509961E-03
   4   2   1  -8.54466256681E-04   4.84467588005E-03
   5   2   1  -4.10620194585E-04   3.13048459749E-03
   6   2   1  -3.10425002271E-04   2.68786415340E-03
   7   2   1  -4.10618276502E-04   3.13048282452E-03
   8   2   1  -8.54469127817E-04   4.84467903240E-03
   9   2   1  -2.89804732993E-03   9.72122695455E-03
  10   2   1  -1.76817136468E-02   2.14917201666E-02
   1   3   1  -1.98632885359E-03  -1.09284100499E-02
   2   3   1  -1.98632174660E-03  -1.09284166111E-02
   3   3   1  -2.24062104490E-03   2.49051486204E-03
   4   3   1  -1.34203472999E-03   3.54601199960E-03
   5   3   1  -6.17695495835E-04   2.73993398755E-03
   6   3   1  -4.02857836737E-04   2.25952767896E-03
   7   3   1  -4.02858387769E-04   2.25952836440E-03
   8   3   1  -6.17696198308E-04   2.73993450829E-03
   9   3   1  -1.34202986230E-03   3.54600752093E-03
  10   3   1  -2.24062313276E-03   2.49051710926E-03
   1   4   1  -2.74590094326E-05  -2.20912599115E-03
   2   4   1   2.90334582318E-03  -5.09452963073E-03
   3   4   1  -2.74666683524E-05  -2.20911860136E-03
   4   4   1  -6.13080964811E-04   8.25076367250E-04
   5   4   1  -5.88346349877E-04   1.60264687388E-03
   6   4   1  -4.26371641333E-04   1.57460186169E-03
   7   4   1  -3.72977509633E-04   1.50720034020E-03
   8   4   1  -4.26371265002E-04   1.57460114950E-03
   9   4   1  -5.88347422979E-04   1.60264830987E-03
  10   4   1  -6.13085454615E-04   8.25079938568E-04
   1   5   1   5.20229062218E-05  -4.33027524937E-04
   2   5   1   8.20850982294E-04  -1.65805637860E-03
   3   5   1   8.20856535912E-04  -1.65806243419E-03
   4   5   1   5.20243734771E-05  -4.33029392645E-04
   5   5   1  -2.39172025971E-04   5.06621511963E-04
   6   5   1  -3.23777411995E-04   7.92313113088E-04
   7   5   1  -3.35543248404E-04   7.92159105369E-04
   8   5   1  -3.35543452644E-04   7.92158912427E-04
   9   5   1  -3.23778222355E-04   7.92313484713E-04
  10   5   1  -2.39168545730E-04   5.06617888647E-04
   1   6   1   3.78334907534E-05   1.17681709247E-04
   2   6   1   3.00352727315E-04  -2.89803527324E-04
   3   6   1   4.50418229861E-04  -5.30958911296E-04
   4   6   1   3.00349219882E-04  -2.89798559262E-04
   5   6   1   3.78344760826E-05   1.17680509028E-04
   6   6   1  -1.36468774937E-04   2.65786774937E-04
   7   6   1  -2.62165028018E-04   1.47308160605E-04
   8   6   1  -3.35602594408E-04   4.90323450075E-05
   9   6   1  -2.62164757628E-04   1.47308121366E-04
  10   6   1  -1.36470280610E-04   2.65788669400E-04
   1   7   1   5.37870277354E-05   2.83299034864E-04
   2   7   1   1.84207285561E-04   3.93090225914E-04
   3   7   1   2.74034453756E-04   3.19696731579E-04
   4   7   1   2.74035215250E-04   3.19694963211E-04
   5   7   1   1.84209316227E-04   3.93087520214E-04
   6   7   1   5.37859269416E-05   2.83300418848E-04
   7   7   1  -1.26436859422E-04  -2.06756776205E-04
   8   7   1  -3.86176064789E-04  -7.89336291192E-04
   9   7   1  -3.86176553333E-04  -7.89335820227E-04
  10   7   1  -1.26434978001E-04  -2.06758626556E-04
   1   8   1   1.32470236950E-04   2.41297496286E-04
   2   8   1   2.41410399918E-04   9.45818971619E-04
   3   8   1   2.42968726403E-04   1.04510409072E-03
   4   8   1   2.40272296688E-04   1.02415160898E-03
   5   8   1   2.42968119818E-04   1.04510495396E-03
   6   8   1   2.41407767901E-04   9.45821909499E-04
   7   8   1   1.32473200876E-04   2.41294558406E-04
   8   8   1  -2.74049306940E-04  -1.43451641095E-03
   9   8   1  -9.23491790540E-04  -2.61957049765E-03
  10   8   1  -2.74050193714E-04  -1.43451554772E-03
   1   9   1   7.41690303267E-04   3.59793563420E-05
   2   9   1   6.68228052032E-04   1.94676374661E-03
   3   9   1   3.40764553911E-04   1.96928829405E-03
   4   9   1   1.97702638937E-04   1.77738859668E-03
   5   9   1   1.97700711197E-04   1.77739078402E-03
   6   9   1   3.40768127967E-04   1.96928538293E-03
   7   9   1   6.68229897969E-04   1.94676236263E-03
   8   9   1   7.41687008437E-04   3.59831228165E-05
   9   9   1  -1.88445031168E-03  -5.72654815584E-03
  10   9   1  -1.88445067270E-03  -5.72654820784E-03
   1  10   1   9.19316843172E-03   6.54181890719E-04
   2  10   1   2.06250047747E-03   5.40586921257E-03
   3  10   1   4.41800642105E-04   3.75130424999E-03
   4  10   1   1.00660177355E-04   2.71022946704E-03
   5  10   1   4.85304022523E-05   2.39656614572E-03
   6  10   1   1.00660239673E-04   2.71022771143E-03
   7  10   1   4.41795033399E-04   3.75130892159E-03
   8  10   1   2.06250088550E-03   5.40586763565E-03
   9  10   1   9.19317197658E-03   6.54178639027E-04
  10  10   1  -1.77171508219E-02  -2.87826258080E-02
   1   1   2   2
   1   1   1   1.14382897143E+00  -2.10005672265E-02
   2   1   1  -4.58227819839E-02  -5.16532937759E-02
   3   1   1  -1.51150341328E-03  -1.20712378510E-02
   4   1   1   1.03378060598E-04  -5.30416900075E-03
   5   1   1   1.59998964590E-04  -3.28878680028E-03
   6   1   1   1.46083992995E-04  -2.79320859299E-03
   7   1   1   1.59998964590E-04  -3.28878680028E-03
   8   1   1   1.03378060598E-04  -5.30416900075E-03
   9   1   1  -1.51150341328E-03  -1.20712378510E-02
  10   1   1  -4.58227819839E-02  -5.16532937759E-02
   1   2   1  -9.69532997694E-03   1.71735801447E-02
   2   2   1  -9.69532622783E-03   1.71735763956E-02
   3   2   1   1.60441516937E-03  -9.52296948292E-03
   4   2   1   4.44289419523E-04  -5.65969005541E-03
   5   2   1   2.10321984297E-04  -3.48086278603E-03
   6   2   1   1.44651356980E-04  -2.65470189523E-03
   7   2   1   1.44652866763E-04  -2.65470340502E-03
   8   2   1   2.10319931533E-04  -3.48086073327E-03
   9   2   1   4.44290803506E-04  -5.65969143940E-03
  10   2   1   1.60441636678E-03  -9.52297068033E-03
   1   3   1  -8.14932398143E-04   2.62634015243E-03
   2   3   1  -5.07137041168E-06   1.08387085493E-02
   3   3   1  -8.14937531243E-04   2.62634528553E-03
   4   3   1   1.19534678697E-04  -2.32686498565E-03
   5   3   1   1.24625538627E-04  -2.55928412418E-03
   6   3   1   1.01118174563E-04  -2.15203632060E-03
   7   3   1   9.71547454002E-05  -1.98049798619E-03
   8   3   1   1.01118048764E-04  -2.15203619480E-03
   9   3   1   1.24628245826E-04  -2.55928683138E-03
  10   3   1   1.19528876817E-04  -2.32685918377E-03
   1   4   1  -1.02685914864E-04   4.96969647137E-04
   2   4   1  -1.14160151889E-04   3.08683585362E-03
   3   4   1  -1.14152966025E-04   3.08682866776E-03
   4   4   1  -1.02687424647E-04   4.96971156921E-04
   5   4   1   7.13562080937E-05  -9.97868672203E-04
   6   4   1   7.10629119836E-05  -1.30915547373E-03
   7   4   1   5.96035912217E-05  -1.27680237767E-03
   8   4   1   5.96049144361E-05  -1.27680370088E-03
   9   4   1   7.10591628674E-05  -1.30915172461E-03
  10   4   1   7.13598314104E-05  -9.97872295519E-04
   1   5   1  -7.87820109290E-06  -8.27436531965E-05
   2   5   1  -3.68314201317E-05   7.95137027083E-04
   3   5   1  -5.92026690228E-05   1.32706080981E-03
   4   5   1  -3.68370962124E-05   7.95142703163E-04
   5   5   1  -7.87306799283E-06  -8.27487862967E-05
   6   5   1   3.23612840276E-05  -5.25997837988E-04
   7   5   1   3.43121263906E-05  -5.77094640837E-04
   8   5   1   3.07253169269E-05  -5.45647195847E-04
   9   5   1   3.43145522925E-05  -5.77097066739E-04
  10   5   1   3.23614098271E-05  -5.25997963787E-04
   1   6   1   6.74697470785E-06  -2.19942774708E-04
   2   6   1   2.45062795809E-06  -7.04273611371E-05
   3   6   1  -3.34019858524E-06   1.80397831764E-04
   4   6   1  -3.33657526850E-06   1.80394208447E-04
   5   6   1   2.45201194191E-06  -7.04287451209E-05
   6   6   1   6.74249604208E-06  -2.19938296042E-04
   7   6   1   2.45201194191E-06  -7.04287451209E-05
   8   6   1  -3.33657526850E-06   1.80394208447E-04
   9   6   1  -3.34019858524E-06   1.80397831764E-04
  10   6   1   2.45062795809E-06  -7.04273611371E-05
   1   7   1  -7.87820109290E-06  -8.27436531965E-05
   2   7   1   3.23614098271E-05  -5.25997963787E-04
   3   7   1   3.43145522925E-05  -5.77097066739E-04
   4   7   1   3.07253169269E-05  -5.45647195847E-04
   5   7   1   3.43121263906E-05  -5.77094640837E-04
   6   7   1   3.23612840276E-05  -5.25997837988E-04
   7   7   1  -7.87306799283E-06  -8.27487862967E-05
   8   7   1  -3.68370962124E-05   7.95142703163E-04
   9   7   1  -5.92026690228E-05   1.32706080981E-03
  10   7   1  -3.68314201317E-05   7.95137027083E-04
   1   8   1  -1.02685914864E-04   4.96969647137E-04
   2   8   1   7.13598314104E-05  -9.97872295519E-04
   3   8   1   7.10591628674E-05  -1.30915172461E-03
   4   8   1   5.96049144361E-05  -1.27680370088E-03
   5   8   1   5.96035912217E-05  -1.27680237767E-03
   6   8   1   7.10629119836E-05  -1.30915547373E-03
   7   8   1   7.13562080937E-05  -9.97868672203E-04
   8   8   1  -1.02687424647E-04   4.96971156921E-04
   9   8   1  -1.14152966025E-04   3.08682866776E-03
  10   8   1  -1.14160151889E-04   3.08683585362E-03
